levelid,mapid,maintype,leveltype,levelindex,chapterindex,levelgroup,level,siege,levelname,chaptername,descriptiont,physicalstrength,teamexp,everydaynum,sloot1,sloot2,sloot3,sloot4,loot1,loot2,loot3,loot4,tasktypes,n1,n2,n3,n4,word,show,icon,heroid,herolv,heroclass,herostar,content,overdrama,aindex,bindex,condition,nextlevel,alevel1,alevel2,component,towershow,showtalk
110101,110101,1,1,1,1,1,1,0,第1章  逃亡,1-1 解救骑士,击败兽人，救出骑士。,5,5,99,91000002,91000001,30101001,0,91000001,30101000,30101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110102,0,0,20,3006,VO_Story/1-1_shourenyongbing
110102,110102,1,2,1,2,2,1,0,第1章  逃亡,1-4 遗迹,这座先行者的遗迹封印完好，里面似乎埋藏着不少奇珍异宝。,5,5,99,91000002,91000001,30102001,0,91000001,30101000,30102001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040101,0,0,0,110103,110101,0,20,1010,VO_Story/yiji_saila
110103,110103,1,1,1,3,3,1,0,第1章  逃亡,1-2 精灵狐妖,让精灵狐妖加入我们。,5,5,99,91000002,91000001,30102001,0,91000001,30101000,30102001,0,7,1,3004,0,1,谈判条件:,4,0,3001,0,2,1,拥有一个凤凰之心,0,2,0,return mod_base.issysopen(4),110104,110101,0,20,2004,VO_Story/1-2_nini
110104,110104,1,1,1,4,1,1,0,第1章  逃亡,1-3 兽人佣兵,击败拦路的兽人佣兵。,5,5,99,91000002,91000001,30103001,12400401,91000001,30101000,30103001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110105,110101,0,20,4004,VO_Story/1-3_shourenyongbing
110105,110105,1,3,1,5,1,1,0,第1章  逃亡,1-5 佣兵头领,前方就是港口，击败敌人首领。,5,5,99,91000002,91000001,12300401,12200501,91000001,30101000,12300401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110201,110101,0,20,2005,VO_Story/1-5_shourenyongbing
110201,110201,1,2,2,1,1,1,0,第2章  北岭,2-1 制服海盗,海盗们以他们自己的方式存活在这个世界上。,5,5,99,91000002,91000001,30104001,12100101,91000001,30101000,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110105,0,20,1001,VO_Story/2-1_xinda
110202,110202,1,2,2,2,2,1,0,第2章  北岭,遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30104001,0,91000001,30101000,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1010,0
110203,110203,1,1,2,3,1,1,0,第2章  北岭,2-2 暗灵战士,既非生者也非死者，不管活着还是死去之人都会将他们遗忘。,5,5,99,91000002,91000001,30104001,0,91000001,30101000,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110105,0,20,3007,VO_Story/2-2_wanglingzhanshi
110204,110204,1,2,2,4,3,1,0,第2章  北岭,2-3 圣者残影,对方似乎并无恶意，尝试和他们交流。,5,5,99,91000002,91000001,30105001,0,91000001,30101000,30105001,0,7,1,1002,0,2,谈判条件:,4,0,3001,0,2,1,仲裁官绿色2星,2030101,2,0,return mod_base.issysopen(4),0,110105,0,20,4003,VO_Story/2-3_shengguangjisi
110205,110205,1,1,2,5,1,1,0,第2章  北岭,2-4 黑暗阴影,隐藏在黑暗中的阴影，如今现出了她的真面目。,5,5,99,91000002,91000001,30105001,12101101,91000001,30101000,30105001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110204,0,20,1011,VO_Story/2-4_yingzhiya
110206,110206,1,2,2,6,1,1,0,第2章  北岭,冰霜蛛怪,正面冲突在所难免。,5,5,99,91000002,91000001,30105001,0,91000001,30101000,30105001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110205,0,20,3008,0
110207,110207,1,2,2,7,2,1,0,第2章  北岭,2-5 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30106001,0,91000001,30101000,30106001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050101,0,0,0,0,110205,0,20,1010,VO_Story/yiji_saila
110208,110208,1,1,2,8,1,1,0,第2章  北岭,2-6 暗灵之怒,他们似乎越来越生气了！,5,5,99,91000002,91000001,30106001,0,91000001,30101000,30106001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110205,0,20,3007,VO_Story/2-6_wanglingzhanshi
110209,110209,1,2,2,9,3,1,0,第2章  北岭,2-7 矮人矿工,矮人们喜欢用硫磺和胡椒酿酒。,5,5,99,91000002,91000001,30106001,0,91000001,30101000,30106001,0,7,1,4010,0,2,谈判条件:,4,0,3001,0,2,1,元素之女绿色2星,2070101,2,0,return mod_base.issysopen(4),0,110208,0,20,1005,VO_Story/2-7_airenzhanshi
110210,110210,1,3,2,10,1,1,0,第2章  北岭,2-8 暮光骑士,他生于光明，却被迫受控于黑暗。,5,5,99,91000002,91000001,12200401,12200101,91000001,30101000,12200401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110208,0,20,2001,VO_Story/2-8_muguangqishi
110301,110301,1,2,3,1,1,1,0,第3章  瓦特阿尔,3-1 矮人守卫,鲜血与黎明！还有理智。,5,5,99,20000011,91000001,30101002,12100501,91000001,30101000,30101002,30101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110210,0,20,1005,0
