heroid,herotype,typequality,legend
1001,生灵,4,"       臭名昭著的海盗团伙“黑帆舰队”在首领辛达的带领下四处劫掠。虽然帝国曾数次出动海军围剿“黑帆舰队”，但都被狡猾的辛达逃脱。也许是厌倦了刀口舔血的生活，辛达有一天突然向帝国投降，并被编入了海军，负责进行海上私掠的活动。至于帝国为何会接受他的投降，有人说辛达掌握了帝国海军不可告人的秘密，也有人说辛达向皇帝进贡了一份世上最为详尽的海图。但不管真相如何，他都和帝国高层进行了一笔巨额交易。现在，他打着帝国海军的旗号，继续大摇大摆地在丰饶之海横行。"
1002,生灵,4,"       圣赫利的橡叶骑士团从来不担心士气问题，在指挥官艾伦的带领下，这支部队所向披靡，保护着赫利海姆的边境，令暗言教和枯木堡的侵略者闻风丧胆。在主持正义的道路上，艾伦从来不知疲倦，他甚至主动签订了召唤契约，只为了能在魔物肆虐时第一时间到达战场。"
1003,生灵,4,"       加百列知道恶魔总有一天会卷土重来，早在万年之前她便开始着手准备。她在大陆南部建立了一座受神域屏障保护的堡垒，在里面不眠不休的训练着一支由半神组成的军队。"
1004,生灵,4,"       雷米尔原本是来自异位面的大天使，在旷日持久的万世之战中，他眼看着同胞纷纷倒下，而恶魔又除而不尽头，因此对自己的信仰产生了怀疑。他认为必须用强硬的手段对其他物种加以控制，才能从根本上结束战争，并自负的以新上帝自居。天界讨伐了他，他在逃亡之路上因为仇恨而心智扭曲，最终堕落为深渊领主。现在，他带领着深渊大军主动与恶魔贝利亚合作，等待着时机的来临。"
1005,生灵,4,"       矮人对火药的运用炉火纯青，被称为爆裂队长的伊尔更是其中翘楚。伊尔是瓦特阿尔巡山队中最著名的神射手，据说他可以用有效射程500米的火枪一枪放倒千米之外的雪山巨魔。伊尔对枪械的痴迷程度不亚于矮人对烈酒的痴迷，他整日与弹药相伴，甚至在抽烟时会不小心引燃自己胡须上残留的火药。不过他毫不在意，甚至还挺喜欢闻它们一起燃烧的味道。就是这样一位怪人，独自创造了在一场战斗中击杀百名敌人的记录，留下了爆裂队长的名号。"
1006,生灵,4,"       灵界，一个令人毛骨悚然的地方。卡戎作为灵界的看门人，将无数误入此地的生灵变成了他的战利品。据说，他受到灵界大帝的掌控，只有当他为灵界收集了1万个生灵后，才能得到解脱。虽然卡戎的工作令人胆寒，但他同情那些被自己收割的灵魂，甚至会在闲暇时和他们对话，听他们倾诉自己生前的遭遇，也许他在那些故事中看到了曾经的自己……"
1007,生灵,4,"       尤达作为暗言教最忠诚的信徒，为了复活自己的爱人，将灵魂出卖给了恶魔。但仪式进行到一半的时候，圣赫利的骑士突袭了祭坛，击毙了在场所有的异教徒。尤达怀着巨大的怨恨死去，恶魔欣赏尤达扭曲的灵魂，赐予他一具受诅咒的躯体。尤达带着对现世的怨恨，成为了恶魔在凡间的代言人。"
1008,生灵,4,"       拥有永生是莉莉丝倾尽一生的梦想。原本她只是一位平凡的法师，直到有一天她了解到死灵法术，从此她便一发不可收拾地研究起永生的奥秘。当她终于认清自己平庸的天赋时，便走火入魔般前往常人避之不及的灵界，亡灵们“慷慨地”满足了她的需求，将她的肉体分食殆尽。莉莉丝的灵魂终于成为了不朽的死灵法师，并获得了一具新的躯体。"
1009,生灵,4,"       安蒙是泰拉尔首屈一指的大法师，被称为全知全能的先知安蒙。在对知识的探求过程中，安蒙的精神进入了一个不该进入的领域，他看到扭曲恐怖的末日景象，并被隐藏在位面深处的邪神阿萨托斯控制了思想。在邪神的授意下，安蒙释放了被囚禁的泰拉之影，并一手缔造了丧钟军团。现在他只需要将散落在各处的泰拉神器收集起来，将其腐化，邪神阿萨托斯便能降临这个世界……"
1010,生灵,4,"       塞拉从小被刺客公会首领收养，首领将她培养成了一部精确的刺杀机器，成年之际，艾许已经声名远扬。但在一系列针对无辜人民的暗杀活动中，艾许渐渐发现曾经正义的刺客公会，已经逐渐沦为了政治斗争的鹰犬。为此，她擅自违抗了公会下达的命令。在逃亡的路上，她不断遭到同门的追杀，当她奄奄一息的时候，希伦的老领主萨兰向她伸出了援手。从此她便以希伦护卫队长的身份，获得重生。"
