levelid,mapid,maplv,maintype,leveltype,levelindex,chapterindex,taskindex,level,levelname,chaptername,descriptiont,teamexp,everydaynum,sloot1,sloot2,sloot3,sloot4,sloot5,nextlevel,alevel1,Icon_X,Icon_Y,map_bg,battle_bg,ready_bg,music,monster_face,hang_up,Initial_anger,comat,dungeon_extra_drop1,dungeon_extra_drop2,dungeon_extra_drop3,dungeon_extra_drop4,daily_recharge_group,team_lack,story_id,level_skip,skip_type,skip_num
110101,110101,1,1,1,1,1,1,1,第1章,关卡1-1,0,5,99,91000002,91000001,0,0,0,110102,0,76,254,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100001,600,50000,10201,10201,10201,10201,1,0,0,1,1,99900
110102,110102,1,1,1,1,2,2,1,第1章,关卡1-2,0,5,99,91000002,91000001,0,0,0,110103,110101,161,265,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100002,600,50090,10201,10201,10201,10201,1,0,0,1,1,100079
110103,110103,1,1,1,1,3,3,1,第1章,关卡1-3,0,5,99,91000002,91000001,0,0,0,110104,110102,242,250,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100003,600,50180,10201,10201,10201,10201,1,0,0,1,1,100259
110104,110104,1,1,2,1,4,4,1,第1章,关卡1-4,原本是怒涛联邦最为繁荣的港口之一的西部海港最近怪物频繁出现，为了平息这些作乱的怪物，联邦派出了有名的英雄和冒险家去消灭怪物们。在这路上，英雄们遇到了一位强劲的对手，那不是什么怪物，而是手握长刀的武将！,5,99,91000002,91000001,0,0,0,110105,110103,342,244,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100003,600,50270,10201,10201,10201,10201,1,0,10010401|20010401,1,0,0
110105,110105,1,1,1,1,5,5,1,第1章,关卡1-5,0,5,99,91000002,91000001,0,0,0,110106,110104,438,228,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100004,600,50360,10201,10201,10201,10201,1,0,0,1,1,100619
110106,110106,2,1,1,1,6,6,1,第1章,关卡1-6,0,5,99,91000002,91000001,0,0,0,110107,110105,491,252,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100005,600,50450,10201,10201,10201,10201,1,0,0,1,1,100799
110107,110107,2,1,2,1,7,7,1,第1章,关卡1-7,港口现在已经很少能看见居民，那些缺乏维护的建筑还没倒塌，一些无家可归的流浪者和通缉犯曾在此处扎根，从那些碳火的痕迹便可以推断。不过，自从暗影灾难的出现，这些人迹罕至的地区都成了暗影生物的温床，那些曾在此苟活的人也都消失了。,5,99,91000002,91000001,0,0,0,110108,110106,564,268,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100006,600,50540,10201,10201,10201,10201,1,0,0,1,0,0
110108,110108,2,1,1,1,8,8,1,第1章,关卡1-8,0,5,99,91000002,91000001,0,0,0,110109,110107,664,288,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100006,600,50630,10201,10201,10201,10201,1,0,0,1,1,101158
110109,110109,2,1,2,1,9,9,1,第1章,关卡1-9,随着时间推移，原本只是在人们口中谈资的暗影生物终于出现在视线之内，让这荒废的港口最终又被回想起来。被黑暗污染的死者和动物都变成了暗影势力的爪牙，它们毫无慈悲，无论是人还是普通动物，都只会是它们的玩物。必须做点什么了！,5,99,91000002,91000001,0,0,0,110110,110108,746,237,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100007,600,50721,10201,10201,10201,10201,1,0,0,1,0,0
110110,110110,2,1,1,1,10,10,1,第1章,关卡1-10,0,5,99,91000002,91000001,0,0,0,110111,110109,825,261,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100008,600,50812,10201,10201,10201,10201,1,0,0,1,1,101522
110111,110111,3,1,1,1,11,11,1,第1章,关卡1-11,0,5,99,91000002,91000001,0,0,0,110112,110110,908,291,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100008,600,50903,10201,10201,10201,10201,1,0,0,1,1,101704
110112,110112,3,1,3,1,12,12,1,第1章,关卡1-12,就在战士们在前线作战时，后方补给线却出现了问题，一个高大的暗影生物挡住补给队的去路，它气势汹汹地将队伍给打得七零八落，甚至开始进攻原本安宁的城市。怪物有着人形的外表，身边围绕着丑陋的恶魔。看样子，这是一个首领级的家伙。,5,99,91000002,91000001,0,0,0,110201,110111,993,245,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100009,600,50994,10201,10201,10201,10201,1,0,0,1,0,0
110201,110201,3,1,1,2,1,13,1,第2章,关卡2-1,0,5,99,91000002,91000001,0,0,0,110202,110112,81,260,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100009,500,250000,10201,10201,10201,10201,1,1,0,1,1,489020
110202,110202,3,1,1,2,2,14,1,第2章,关卡2-2,0,5,99,91000002,91000001,0,0,0,110203,110201,121,275,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100010,500,250700,10201,10201,10201,10201,1,1,0,1,1,490389
110203,110203,3,1,1,2,3,15,1,第2章,关卡2-3,0,5,99,91000002,91000001,0,0,0,110204,110202,163,260,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100010,500,251401,10201,10201,10201,10201,1,1,0,1,1,491760
110204,110204,4,1,2,2,4,16,1,第2章,关卡2-4,清理港口的任务做起来相当费时费力，一些受到黑暗力量影响的生物都早就失去了曾经的形态，变成了更加凶残的模样。它们几乎都变得更加擅长战斗，也比前来清扫的军队更加熟悉破败后的港口。在这座旧城市里，有着作战经验和严格训练的士兵反而时常不是它们对手。,5,99,91000002,91000001,0,0,0,110205,110203,199,295,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100011,500,252104,10201,10201,10201,10201,1,1,0,1,0,0
110205,110205,4,1,1,2,5,17,1,第2章,关卡2-5,0,5,99,91000002,91000001,0,0,0,110206,110204,243,305,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100012,500,252809,10201,10201,10201,10201,1,1,0,1,1,494514
110206,110206,4,1,1,2,6,18,1,第2章,关卡2-6,0,5,99,91000002,91000001,0,0,0,110207,110205,288,299,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100013,500,253516,10201,10201,10201,10201,1,1,0,1,1,495897
110207,110207,4,1,1,2,7,19,1,第2章,关卡2-7,0,5,99,91000002,91000001,0,0,0,110208,110206,319,278,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100014,500,254225,10201,10201,10201,10201,1,1,0,1,1,497284
110208,110208,4,1,2,2,8,20,1,第2章,关卡2-8,清扫行动持续了一段时间，港口被划分为被禁止的地区，军队将这里封锁，在必经之路上设立关卡。怒涛联邦还不知道暗影生物是以何种方式慢慢侵蚀了整座港口，在国王之死的悲痛里，他们自认地认为，这是不肯罢休的雷鸣之城留下的怪物和邪恶魔法。,5,99,91000002,91000001,0,0,0,110209,110207,355,255,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100015,500,254936,10201,10201,10201,10201,1,1,0,1,0,0
110209,110209,5,1,1,2,9,21,1,第2章,关卡2-9,0,5,99,91000002,91000001,0,0,0,110210,110208,395,266,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100016,500,255649,10202,10202,10202,10202,1,1,0,1,1,500069
110210,110210,5,1,1,2,10,22,1,第2章,关卡2-10,0,5,99,91000002,91000001,0,0,0,110211,110209,430,276,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100016,500,256364,10202,10202,10202,10202,1,1,0,1,1,501468
110211,110211,5,1,1,2,11,23,1,第2章,关卡2-11,0,5,99,91000002,91000001,0,0,0,110212,110210,463,260,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100017,500,257081,10202,10202,10202,10202,1,1,0,1,1,502871
110212,110212,5,1,2,2,12,24,1,第2章,关卡2-12,其实暗影生物究竟从何而来，联邦中没人能说的清楚，只是受感情驱使地认为是雷鸣之城的邪恶魔法。这些怪物当然不会安稳地待在港口内，它们时不时就会在周围的郊区狩猎，让周围许多居民苦不堪言，甚至使得很多庆典被推迟，一些神殿都不能被朝拜，冒险家们的计划完全被打乱。,5,99,91000002,91000001,0,0,0,110213,110211,498,249,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100017,500,257800,10202,10202,10202,10202,1,1,0,1,0,0
110213,110213,5,1,1,2,13,25,1,第2章,关卡2-13,0,5,99,91000002,91000001,0,0,0,110214,110212,538,236,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100017,500,258521,10202,10202,10202,10202,1,1,0,1,1,505687
110214,110214,6,1,1,2,14,26,1,第2章,关卡2-14,0,5,99,91000002,91000001,0,0,0,110215,110213,567,225,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100018,500,259244,10202,10202,10202,10202,1,1,0,1,1,507102
110215,110215,6,1,1,2,15,27,1,第2章,关卡2-15,0,5,99,91000002,91000001,0,0,0,110216,110214,594,206,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100018,500,259969,10202,10202,10202,10202,1,1,0,1,1,508520
110216,110216,6,1,2,2,16,28,1,第2章,关卡2-16,西部港口一直被认为不可能有人生活，但越来越多的人被发现时，真正的不安才开始蔓延。这次的暗影入侵不只是感染动物和死者，如今看来只要是活物就能转变成暗影生物。最可怕的是，这些人全都看起来意识清醒，但立场完全转变。,5,99,91000002,91000001,0,0,0,110217,110215,642,236,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100019,500,260696,10202,10202,10202,10202,1,1,0,1,0,0
110217,110217,6,1,1,2,17,29,1,第2章,关卡2-17,0,5,99,91000002,91000001,0,0,0,110218,110216,680,251,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100020,400,261425,10202,10202,10202,10202,1,1,0,1,1,511368
110218,110218,6,1,1,2,18,30,1,第2章,关卡2-18,0,5,99,91000002,91000001,0,0,0,110219,110217,715,258,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100021,400,262156,10202,10202,10202,10202,1,1,0,1,1,512798
110219,110219,7,1,1,2,19,31,1,第2章,关卡2-19,0,5,99,91000002,91000001,0,0,0,110220,110218,736,287,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100022,400,262890,10202,10202,10202,10202,1,1,0,1,1,514233
110220,110220,7,1,2,2,20,32,1,第2章,关卡2-20,并不只是怒涛联邦有这样的麻烦，在清扫中，联邦发现其中还有一些来自其他势力部族的人也出现在港口中，他们一样显得神志不清。这恐怕并不是雷鸣之城的力量所能企及的地步，造成这一切远比雷鸣更加恐怖。,5,99,91000002,91000001,0,0,0,110221,110219,777,291,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100023,400,263626,10202,10202,10202,10202,1,1,0,1,0,0
110221,110221,7,1,1,2,21,33,1,第2章,关卡2-21,0,5,99,91000002,91000001,0,0,0,110222,110220,812,275,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100023,400,264364,10202,10202,10202,10202,1,1,0,1,1,517117
110222,110222,7,1,1,2,22,34,1,第2章,关卡2-22,0,5,99,91000002,91000001,0,0,0,110223,110221,842,262,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100023,400,265104,10202,10202,10202,10202,1,1,0,1,1,518564
110223,110223,7,1,1,2,23,35,1,第2章,关卡2-23,0,5,99,91000002,91000001,0,0,0,110224,110222,868,245,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100024,400,265846,10202,10202,10202,10202,1,1,0,1,1,520016
110224,110224,8,1,2,2,24,36,1,第2章,关卡2-24,在西部海港的任务从单纯的清扫变成了对港口的排查，那些被转变者都被处决或者集中关押，并且弄清他们的身份。他们几乎都对这些暗影生物极其崇拜，无论这些生物体型样貌如何。一只鬼魅般的怪物引起了注意，这只怪物有蛊惑人心的能力。,5,99,91000002,91000001,0,0,0,110225,110223,903,237,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100024,400,266590,10202,10202,10202,10202,1,1,0,1,0,0
110225,110225,8,1,1,2,25,37,1,第2章,关卡2-25,0,5,99,91000002,91000001,0,0,0,110226,110224,940,251,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100024,400,267336,10202,10202,10202,10202,1,1,0,1,1,522930
110226,110226,8,1,1,2,26,38,1,第2章,关卡2-26,0,5,99,91000002,91000001,0,0,0,110227,110225,971,267,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100025,400,268084,10202,10202,10202,10202,1,1,0,1,1,524393
110227,110227,8,1,1,2,27,39,1,第2章,关卡2-27,0,5,99,91000002,91000001,0,0,0,110228,110226,997,296,gk_Item_02,Item01_02,Item01_01,1008,1021602|1021603,100025,400,268834,10202,10202,10202,10202,1,1,0,1,1,525860
